LotArea,YearBuilt,OverallQual,Neighborhood,SalePrice,Predicted_Price,Value_Gap
8070,1994,4,CollgCr,123600,138393.02,14793.015625
7793,1922,7,BrkSide,209500,178364.5,-31135.5
6792,2005,7,NridgHt,202665,203031.64,366.640625
6371,2009,7,NridgHt,224000,213097.2,-10902.796875
8304,1997,6,SawyerW,187000,185443.58,-1556.421875
6951,1984,5,Mitchel,119500,130827.44,11327.4375
4590,2006,8,NridgHt,209500,215347.28,5847.28125
6500,1976,6,Edwards,135000,126675.67,-8324.328125
6000,1950,5,OldTown,129500,116227.24,-13272.7578125
11625,1967,5,Sawyer,113500,152707.64,39207.640625
11184,1998,6,Gilbert,183000,190068.77,7068.765625
9855,1956,6,Edwards,127500,142049.17,14549.171875
8092,1954,6,NAmes,156000,140407.17,-15592.828125
7200,1949,4,NAmes,90000,97670.695,7670.6953125
9638,1919,6,SWISU,169000,162205.42,-6794.578125
11844,2008,8,StoneBr,372500,362778.22,-9721.78125
7500,1920,4,IDOTRR,68400,71394.836,2994.8359375
9500,1964,6,NAmes,165000,158382.05,-6617.953125
8700,1961,5,NAmes,120000,141078.6,21078.59375
9587,2005,7,Gilbert,190000,183090.52,-6909.484375
11800,1974,5,CollgCr,131000,135005.45,4005.453125
12798,1997,6,ClearCr,200000,224369.75,24369.75
57200,1948,5,Timber,160000,154676.8,-5323.203125
4500,1998,6,Mitchel,164000,159279.02,-4720.984375
9000,1919,5,IDOTRR,72000,94315.08,22315.078125
8593,1957,4,NAmes,109008,122054.35,13046.3515625
11664,1948,6,NAmes,119200,127540.37,8340.3671875
8147,2005,9,StoneBr,318000,342246.3,24246.3125
12099,1953,5,NAmes,156000,132911.78,-23088.21875
12104,2006,7,Gilbert,287602,203802.05,-83799.953125
10050,1955,5,NAmes,129500,139062.88,9562.875
8314,1997,7,Somerst,200000,239775.16,39775.15625
6854,1925,5,BrkSide,136500,108996.35,-27503.6484375
12633,2006,10,Timber,392000,372334.22,-19665.78125
10152,1956,6,NAmes,153000,147508.72,-5491.28125
23730,1996,7,Mitchel,300000,235717.1,-64282.90625
8139,1995,6,Gilbert,165000,176830.16,11830.15625
6120,1920,5,BrkSide,137500,109143.51,-28356.4921875
13830,1997,5,Gilbert,189900,169941.3,-19958.703125
11250,2001,7,CollgCr,223500,216766.6,-6733.40625
5470,1958,3,OldTown,99900,127064.58,27164.578125
3907,1989,8,Blueste,162500,187046.97,24546.96875
5587,2008,8,Crawfor,392500,309285.6,-83214.40625
10560,1993,7,SawyerW,239900,231514.73,-8385.265625
7404,1920,4,OldTown,80000,112651.29,32651.2890625
26178,1989,7,Timber,335000,234352.53,-100647.46875
10175,1964,6,NAmes,180500,157002.39,-23497.609375
16451,2003,8,NridgHt,370000,324316.9,-45683.09375
9171,2004,7,Gilbert,201490,168865.4,-32624.59375
8816,1971,6,ClearCr,155000,153659.62,-1340.375
6451,1900,7,OldTown,139900,123566.56,-16333.4375
8400,1955,5,NAmes,116900,133536.83,16636.828125
4500,1932,5,SWISU,159434,109546.59,-49887.40625
9670,1935,8,Crawfor,257076,306462.47,49386.46875
2628,2003,7,NridgHt,175500,157690.23,-17809.765625
53227,1954,4,ClearCr,256000,135263.62,-120736.375
12099,2004,8,NridgHt,354000,300331.72,-53668.28125
14200,1966,7,NAmes,226000,245349.8,19349.796875
8814,2005,7,CollgCr,203000,196214.95,-6785.046875
2016,1970,5,BrDale,106000,118908.92,12908.921875
15218,2006,8,Somerst,336820,289020.62,-47799.375
7380,1998,8,StoneBr,240000,308644.78,68644.78125
7920,1920,6,IDOTRR,89500,102319.555,12819.5546875
12702,1956,5,OldTown,97000,136888.86,39888.859375
7669,1992,5,Mitchel,149000,126005.51,-22994.4921875
2651,2000,7,Somerst,165000,163375.5,-1624.5
4435,2003,6,CollgCr,131500,145049.25,13549.25
11923,2007,9,CollgCr,239000,377055.06,138055.0625
11000,1976,5,Mitchel,135000,131922.34,-3077.65625
8000,1974,6,NWAmes,178900,223590.2,44690.203125
10800,1895,5,OldTown,148000,123515.68,-24484.3203125
5858,1999,7,NAmes,184000,181890.98,-2109.015625
9000,1966,5,Sawyer,142500,119793.43,-22706.5703125
20355,1967,7,ClearCr,278000,259989.7,-18010.296875
5119,1999,9,Somerst,328900,263581.38,-65318.625
10320,1910,4,IDOTRR,50000,70889.18,20889.1796875
10084,2004,8,Somerst,307000,266282.72,-40717.28125
10456,1967,6,NWAmes,218500,204257.67,-14242.328125
12182,2005,7,NridgHt,220000,274165.16,54165.15625
9600,1910,4,OldTown,87500,98158.77,10658.7734375
21930,2005,5,Gilbert,192140,181127.56,-11012.4375
17503,1948,6,NAmes,97500,177864.44,80364.4375
15896,1999,7,Gilbert,245000,194048.89,-50951.109375
6950,1979,5,CollgCr,134900,128121.37,-6778.6328125
9545,2000,8,NoRidge,300000,295457.7,-4542.3125
13072,2005,6,SawyerW,132000,147116.22,15116.21875
23920,1984,6,SawyerW,228500,199609.44,-28890.5625
1680,1972,5,BrDale,111750,116579.555,4829.5546875
5520,1920,4,OldTown,111500,94066.24,-17433.7578125
9200,1965,6,NAmes,140000,162319.4,22319.40625
15038,1996,6,Gilbert,173000,188758.73,15758.734375
12392,1950,7,Crawfor,263400,247241.12,-16158.875
10667,1971,6,NAmes,167300,146630.22,-20669.78125
9757,1994,5,CollgCr,143000,156505.45,13505.453125
10029,1988,6,ClearCr,211000,180757.98,-30242.015625
2544,2005,6,Somerst,152000,159257.73,7257.734375
10793,1969,5,NWAmes,152000,154264.89,2264.890625
9462,1949,5,NAmes,137000,132365.69,-4634.3125
32463,1961,4,Mitchel,168000,126508.586,-41491.4140625
7040,1979,5,SawyerW,148325,128333.31,-19991.6875
1526,1970,4,MeadowV,79500,83322.13,3822.1328125
6000,1929,6,BrkSide,120000,139008.25,19008.25
9770,1957,5,NAmes,116000,138747.66,22747.65625
6040,1955,4,Edwards,82000,85495.055,3495.0546875
10751,1974,5,Sawyer,129000,148511.33,19511.328125
10500,1964,5,NAmes,145100,150725.69,5625.6875
7308,1920,5,OldTown,122250,120274.586,-1975.4140625
5500,2004,7,SWISU,157000,201468.72,44468.71875
12665,1915,5,OldTown,153900,136012.23,-17887.765625
6000,1924,5,BrkSide,93000,104942.414,11942.4140625
9720,1910,6,OldTown,146500,171024.17,24524.171875
8145,2007,7,CollgCr,179400,198859.47,19459.46875
10120,1994,8,NoRidge,290000,294220.5,4220.5
5000,1946,3,BrkSide,64500,82489.664,17989.6640625
13108,1994,8,StoneBr,270000,304345.8,34345.8125
11050,1956,5,NAmes,133500,138831.22,5331.21875
7420,1939,5,BrkSide,118000,125766.21,7766.2109375
8540,1956,5,NAmes,127000,136769.48,9769.484375
8872,1965,5,NAmes,147000,145164.3,-1835.703125
13418,2004,8,NridgHt,309000,310629.5,1629.5
17423,2008,9,StoneBr,501837,508511.22,6674.21875
8200,2003,7,CollgCr,219500,203290.25,-16209.75
8521,1967,5,Sawyer,125000,130203.914,5203.9140625
15593,1953,7,ClearCr,225000,244791.47,19791.46875
9000,1956,6,NAmes,139000,145103.27,6103.265625
8014,1978,6,Sawyer,149900,146926.23,-2973.765625
9990,1991,4,Mitchel,228500,146764.25,-81735.75
14963,1996,8,Veenker,245500,323205.84,77705.84375
12144,1949,5,NAmes,133000,123595.41,-9404.59375
4590,2006,8,NridgHt,209500,215347.28,5847.28125
10800,1949,4,NAmes,133500,124841.93,-8658.0703125
9600,1955,5,NAmes,144000,135972.4,-8027.59375
19645,1994,7,Crawfor,203135,256633.53,53498.53125
5852,1902,7,OldTown,97500,120679.125,23179.125
9572,1990,8,NoRidge,302000,327044.53,25044.53125
6930,1958,5,ClearCr,130000,132327.86,2327.859375
9724,1947,5,NAmes,137000,155092.38,18092.375
5436,1922,4,IDOTRR,125500,66023.43,-59476.5703125
8174,2003,7,Gilbert,178000,202955.75,24955.75
12003,2009,8,Timber,269500,274072.38,4572.375
1680,1972,6,BrDale,108000,103172.08,-4827.921875
8123,2000,6,Gilbert,179000,199385.5,20385.5
13072,2004,5,SawyerW,142000,122832.8,-19167.203125
7930,1969,6,NAmes,156000,143603.33,-12396.671875
8000,1959,5,NAmes,159000,139075.0,-19925.0
11040,1920,4,IDOTRR,108000,105901.55,-2098.453125
3010,2005,7,Blmngtn,167240,191528.95,24288.953125
8125,1959,5,NAmes,118000,136540.55,18540.546875
8834,2004,9,NridgHt,350000,310247.4,-39752.59375
9743,1969,5,NWAmes,146900,150349.56,3449.5625
8125,2008,8,Somerst,264500,253330.11,-11169.890625
9638,1977,6,Edwards,147000,159053.58,12053.578125
10200,1940,5,Sawyer,108000,148673.4,40673.40625
10265,1967,5,Sawyer,145000,163775.97,18775.96875
10728,2006,8,Somerst,266000,250408.58,-15591.421875
14720,1995,8,NoRidge,410000,312404.6,-97595.40625
8000,1959,5,NAmes,138000,139075.0,1075.0
8935,2002,7,CollgCr,195000,196776.22,1776.21875
11409,1949,5,Edwards,131000,127313.29,-3686.7109375
15387,1967,7,NWAmes,215000,245887.08,30887.078125
20693,1971,7,Crawfor,198000,273922.9,75922.90625
12292,2006,9,StoneBr,356383,370328.8,13945.8125
10800,1900,5,OldTown,160000,133857.75,-26142.25
16381,1969,6,Crawfor,223000,213775.45,-9224.546875
14226,2006,8,NridgHt,395000,291418.7,-103581.3125
8398,1910,6,OldTown,144100,140493.8,-3606.203125
6780,1935,6,IDOTRR,84500,138810.61,54310.609375
8125,1971,4,NAmes,88000,118015.68,30015.6796875
8849,2005,9,NridgHt,266000,314568.2,48568.1875
22420,1918,6,Crawfor,239000,199383.11,-39616.890625
7162,2003,7,Edwards,196500,180218.1,-16281.90625
9825,1966,5,Edwards,123000,147666.22,24666.21875
8450,2001,6,SawyerW,190500,166079.73,-24420.265625
7425,1945,7,BrkSide,108000,149720.03,41720.03125
10304,1976,5,NWAmes,197500,146959.33,-50540.671875
4080,1935,6,OldTown,128900,117335.66,-11564.34375
16259,2006,9,NridgHt,342643,378174.38,35531.375
11616,1978,6,Sawyer,158900,169179.61,10279.609375
9717,1950,5,NAmes,142125,158176.55,16051.546875
10768,1976,5,Veenker,218000,165924.0,-52076.0
9187,2009,9,Somerst,370878,341427.5,-29450.5
9142,1900,5,OldTown,139500,115431.16,-24068.84375
3922,2006,7,Blmngtn,194201,196768.23,2567.234375
11249,1995,6,CollgCr,177500,193885.4,16385.40625
7800,1967,5,Sawyer,130000,132959.75,2959.75
10215,1954,4,Edwards,111000,108409.07,-2590.9296875
10800,2007,8,Somerst,339750,256091.2,-83658.796875
13651,1973,7,NAmes,244000,209701.88,-34298.125
4800,1910,5,OldTown,111000,89818.07,-21181.9296875
5870,1900,6,BrkSide,106900,122018.555,15118.5546875
9627,1993,7,Mitchel,188000,193366.0,5366.0
8512,1960,5,NAmes,119000,138931.2,19931.203125
12438,1995,6,CollgCr,187000,192815.72,5815.71875
1733,1980,6,Blueste,115000,141590.31,26590.3125
11327,1967,5,Sawyer,153600,144970.94,-8629.0625
7176,1978,6,Sawyer,160500,145667.55,-14832.453125
164660,1965,5,Timber,228950,223365.45,-5584.546875
14670,1966,6,NAmes,227000,208938.47,-18061.53125
3640,1980,8,Greens,188000,188707.2,707.203125
5775,1915,6,OldTown,123000,133086.02,10086.015625
9084,1941,5,Edwards,95000,115230.51,20230.5078125
10880,1950,5,Edwards,125000,136454.42,11454.421875
6120,1929,7,BrkSide,132000,149498.86,17498.859375
7588,1920,7,Crawfor,200100,173696.12,-26403.875
8750,1975,7,Mitchel,148000,177753.05,29753.046875
9742,2002,8,CollgCr,230000,258049.03,28049.03125
9937,1965,5,Edwards,147500,152083.11,4583.109375
7032,1979,5,NAmes,135960,114253.695,-21706.3046875
7560,1971,5,NAmes,123000,137582.67,14582.671875
9069,1992,6,SawyerW,147000,194634.55,47634.546875
11700,1968,6,NWAmes,175000,169476.52,-5523.484375
11235,1963,4,Sawyer,148000,116926.38,-31073.6171875
12285,1960,7,NAmes,176000,204359.77,28359.765625
9839,1931,5,SWISU,100000,164631.66,64631.65625
8741,1945,6,Edwards,113000,124919.414,11919.4140625
9259,1927,4,Sawyer,85000,82218.75,-2781.25
9116,2001,8,Mitchel,209000,242821.83,33821.828125
10759,1972,5,Sawyer,140000,146209.86,6209.859375
8750,1970,5,NAmes,148500,139252.48,-9247.515625
9125,1992,7,Gilbert,163900,154777.64,-9122.359375
3982,2006,8,Blmngtn,264561,229861.14,-34699.859375
11207,1997,6,Gilbert,185000,180945.95,-4054.046875
3880,1978,8,Greens,206000,192084.2,-13915.796875
11050,2000,9,CollgCr,313000,282225.28,-30774.71875
4920,2001,8,StoneBr,213500,279917.44,66417.4375
7703,1992,6,SawyerW,171500,169994.11,-1505.890625
21780,1918,6,Edwards,185000,223373.44,38373.4375
11394,2010,9,StoneBr,394432,351657.12,-42774.875
12000,1968,6,ClearCr,158900,174566.52,15666.515625
3951,1998,10,Somerst,345000,371822.03,26822.03125
8308,1963,4,Edwards,110000,112283.016,2283.015625
10246,1965,4,Sawyer,145000,136861.86,-8138.140625
9520,1953,4,Edwards,99000,112234.48,13234.4765625
12304,2005,7,NridgHt,192000,261270.12,69270.125
7200,1972,5,CollgCr,119900,127040.92,7140.921875
18559,1978,7,NWAmes,235000,252504.67,17504.671875
17140,1956,4,Edwards,135000,124855.625,-10144.375
9000,1958,6,NAmes,113500,143929.67,30429.671875
7155,1926,6,Crawfor,135000,134728.11,-271.890625
8125,1994,6,SawyerW,193500,182742.69,-10757.3125
11447,2005,8,Timber,370000,332946.7,-37053.3125
8769,2008,9,NridgHt,367294,325971.25,-41322.75
11512,1959,6,Edwards,177000,136933.6,-40066.40625
12205,1949,3,OldTown,65000,66602.94,1602.9375
6756,1910,5,OldTown,78000,109450.64,31450.640625
11060,2003,7,Edwards,229000,200176.62,-28823.375
7200,1950,4,NAmes,109900,100673.82,-9226.1796875
14977,2006,8,NridgHt,440000,321592.25,-118407.75
9560,1972,5,CollgCr,128500,140151.12,11651.125
10791,1993,6,NWAmes,243500,190178.19,-53321.8125
9738,1924,5,Edwards,104900,91617.555,-13282.4453125
3378,1946,7,OldTown,135000,122573.35,-12426.6484375
6600,1982,5,Mitchel,138000,132788.8,-5211.203125
6845,1955,4,Edwards,82500,83069.77,569.7734375
4435,2003,6,CollgCr,144000,145049.25,1049.25
9375,1954,4,Edwards,146000,107432.94,-38567.0625
11625,1965,5,Sawyer,131500,142695.83,11195.828125
7407,1957,6,OldTown,149700,140831.19,-8868.8125
8400,1996,7,Gilbert,189000,174250.7,-14749.296875
8789,1967,5,Sawyer,129200,127960.336,-1239.6640625
7223,1926,5,Crawfor,136500,117070.56,-19429.4375
6125,1939,5,BrkSide,135000,120732.13,-14267.8671875
5400,1920,6,OldTown,119000,111650.43,-7349.5703125
8400,1968,5,NAmes,138500,138851.67,351.671875
1680,1971,6,BrDale,85400,95885.31,10485.3125
10512,1954,6,Edwards,154000,154734.98,734.984375
8640,2006,8,Somerst,198600,232179.14,33579.140625
7741,1924,6,OldTown,108000,146777.58,38777.578125
11677,1966,5,Sawyer,123000,146897.06,23897.0625
9503,1958,5,NAmes,144000,134065.77,-9934.234375
12228,2006,7,NridgHt,293000,269890.1,-23109.90625
10900,1977,6,CollgCr,161750,174976.36,13226.359375
11375,1954,6,Sawyer,150000,158481.92,8481.921875
7010,1935,5,BrkSide,153000,141416.16,-11583.84375
8235,1977,5,Sawyer,157000,142460.73,-14539.265625
6285,1977,5,Sawyer,120750,136743.05,15993.046875
10367,2008,9,NridgHt,335000,361157.47,26157.46875
8740,2002,7,Gilbert,219500,218422.48,-1077.515625
1680,1973,6,BrDale,103400,104861.0,1461.0
8413,1998,8,Somerst,312500,241121.2,-71378.796875
7390,1955,5,NAmes,135000,129556.414,-5443.5859375
9140,1921,6,IDOTRR,110000,136616.25,26616.25
7560,1958,5,NAmes,139000,128795.17,-10204.828125
13641,2007,9,NridgHt,492000,452380.1,-39619.90625
8826,2000,7,CollgCr,217500,209585.67,-7914.328125
15295,1996,7,CollgCr,211000,222470.02,11470.015625
9450,1957,4,NAmes,140000,121530.6,-18469.3984375
5604,1925,5,Edwards,98000,104882.17,6882.171875
8400,1980,6,SawyerW,171000,140136.42,-30863.578125
13587,1958,5,NAmes,119000,131360.19,12360.1875
